RAW_WORD,NORMALIZED_WORD,FREQUENCY,RANK,MEANING_ID,WORD_TYPE,IS_KRAMA
kabèh,KABEH,1489,44,semua,Kata Bilangan,
tanpa,TANPA,1473,45,tanpa,,
engg,ENGG,1437,46,enggon (tempat),,
gusti,GUSTI,1422,47,tuan; yang mulia; gelar bangsawan,,
isih,ISIH,1416,48,masih,Kata Keadaan,
wae,WAE,1406,49,saja,Kata Keterangan,
nganti,NGANTI,1391,50,sampai,,
maneh,MANEH,1378,51,lagi,,
kanthi,KANTHI,1360,52,dengan,,
dalem,DALEM,1327,53,rumah,Kata Benda,
dhéwé,DHEWE,1327,54,sendiri; sendirian,Kata Keadaan,
sami,SAMI,1317,55,sama,,
mas,MAS,1292,56,saudara laki-laki yang lebih tua,Kata Benda,
basa,BASA,1291,57,bahasa; kata; sopan santun dalam bicara,,
