Frequency Rank,Javanese,Indonesian,Part of Speech,IPA,Audio,example sentence 1,example sentence 2,Is Krama,note
135,dhateng,datang,,,,,,,
136,rada,agak,,,,,,,
137,rasa,rasa,,,,,,,
138,metu,keluar,,,,,,,
139,urip,hidup,Kata Kerja,,,,,,
140,ala,buruk,Kata Sifat,,,,,,
141,digawe,dikerjakan;dibuat,,,,,,,
142,tuwa,tua,,,,,,,
143,prabu,raja,,,,,,,
144,tekan,sampai,Kata Keadaan,,,,,,
145,yaiku,yaitu,Kata Sambung,,,,,,
146,tembang,lagu,Kata Benda,,,,,,
147,teka,datang; sampai,,,,,,,
148,énggal,cepat,Kata Sifat,,,,,,
149,swara,suara; nada,,,,,,,
150,mati,mati,,,,,,,
151,enggone,tempatnya,,,,,,,
152,kurang,kurang,,,,,,,
153,bareng,bersama,,,,,,,
154,weruh,"nampak, tahu; melihat",Kata Kerja,,,,,,
155,lunga,pergi,Kata Kerja,,,,,,
156,ukara,kalimat,Kata Benda,,,,,,
157,agung,api,Kata Benda,,,,,,
158,siji,satu,Kata Bilangan,,,,,,
159,amarga,karena,Kata Sambung,,,,,,
160,kados,seperti,,,,,,,
161,golek,cari; mencari,Kata Kerja,,,,,,
162,minangka,sebagai,,,,,,,
163,mesthi,mesti;kudu,,,,,,,
164,gesang,hidup,,,,,,,
165,kawula,saya;aku;orang;rakyat,,,,,,,
166,jaman,zaman,,,,,,,
167,mlebu,masuk,Kata Kerja,,,,,,
168,mangan,makan,Kata Kerja,,,,,,
169,kene,sini,Pronomina,,,,,,
170,mbah,kakek/nenek,Kata Benda,,,,,,
171,mlaku,berjalan; [[mlaku-mlaku,Kata Kerja,,,,,,
172,awake,diri; badan,,,,,,,
173,kayu,kayu,,,,,,,
174,gelem,mau,Kata Kerja,,,,,,
175,bali,"pulang, kembali",Kata Kerja,,,,,,
176,mèlu,ikut,,,,,,,
177,nggih,iya; membenarkan sesuatu,,,,,,,
178,dhuwur,tinggi,Kata Sifat,,,,,,
179,dudu,bukan,Kata Keterangan,,,,,,
180,dalan,jalan,Kata Benda,,,,,,
181,iwak,ikan,Kata Benda,,,,,,
182,bener,benar,Kata Sifat,,,,,,
183,namung,hanya,Kata Keterangan,,,,,Krama,
184,kembang,bunga,Kata Benda,,,,,,
185,sampeyan,Anda / kamu / engkau (lebih sopan),Pronomina,,,,,,
186,lemah,tanah,Kata Benda,,,,,,
187,liya,lain,,,,,,,
188,manuk,burung,Kata Benda,,,,,,
189,sanget,sangat,Kata Keterangan,,,,,Krama,
190,abang,merah,Kata Sifat,,,,,,
191,bathara,sebutan untuk dewa,Kata Sandang,,,,,,
192,ugi,juga,Kata Keadaan,,,,,,
193,ageng,besar,Kata Sifat,,,,,Krama,
194,nata,"menata, merapikan",Kata Kerja,,,,,,
195,dawa,panjang,Kata Sifat,,,,,,
196,tiba,jatuh,Kata Kerja,,,,,,
197,krama,"bahasa jawa halus, kawin",Kata Sifat,,,,,,
198,badhé,akan,,,,,,,
199,slamet,selamat,,,,,,,
200,turu,tidur,Kata Kerja,,,,,,
201,liyane,yang lain,,,,,,,
202,pati,kematian,Kata Benda,,,,,,
203,tumrap,untuk,,,,,,,
204,rama,Ayah,Kata Benda,,,,,,
205,aran,nama,Kata Benda,,,,,,
206,wayah,cucu,Kata Benda,,,,,,
207,crita,cerita,Kata Benda,,,,,,
208,lawang,pintu,Kata Benda,,,,,,
209,bengi,malam,Kata Benda,,,,,,
210,dolanan,"bermain, mainan, permainan",Kata Kerja,,,,,,
211,adoh,jauh,Kata Keadaan,,,,,,
212,pari,padi,Kata Benda,,,,,,
213,ireng,hitam,Kata Sifat,,,,,,
214,matur,minta,Kata Kerja,,,,,,
215,ngarep,depan,Kata Keadaan,,,,,,
216,sega,nasi,Kata Benda,,,,,,
217,wani,berani,Kata Sifat,,,,,,
218,ésuk,pagi,Kata Keadaan,,,,,,
219,geni,api,Kata Benda,,,,,,
220,laku,perjalanan hidup/cobaan yang harus dilalui,,,,,,,
221,déwa,dewa,Kata Benda,,,,,,
222,legi,manis,Kata Sifat,,,,,,
223,ayu,cantik,Kata Sifat,,,,,,
224,tresna,"Suka, Cinta",Kata Kerja,,,,,,
225,linggih,duduk,Kata Kerja,,,,,,
226,pinter,"pintar, cerdas",Kata Sifat,,,,,,
227,jaran,kuda,Kata Benda,,,,,,
228,kiwa,kiri,Kata Keterangan,,,,,,
