Frequency Rank,Javanese,Indonesian,Part of Speech,IPA,Audio,example sentence 1,example sentence 2,Is Krama,note
563,bar,selesai,Kata Keadaan,,,,,,
564,gèntèr,galah,,,,,,,
565,jangan,sayur (masakan),Kata Benda,,,,,,
566,éwadéné,walaupun demikian,,,,,,,
567,mantep,mantap,,,,,,,
568,arum,wangi sedap,,,,,,,
569,paraga,"pemeran, tokoh, karakter",Kata Benda,,,,,,
570,jejeg,tendang,Kata Kerja,,,,,,
571,rahayu,"selamat, sejahtera",,,,,,,
572,gampil,"gampang, mudah",Kata Sifat,,,,,Krama,
573,antawis,kira-kira,,,,,,Krama,
574,warsa,tahun,Kata Benda,,,,,,
575,bathuk,"dahi, kening, jidat",Kata Benda,,,,,,
576,cagak,tongkat; penyangga; tiang; pilar,Kata Benda,,,,,,
577,kasèp,terlambat,,,,,,,
578,lugu,"lucu, polos",Kata Sifat,,,,,,
579,nandur,menanam,Kata Kerja,,,,,,
580,buntut,ekor,,,,,,,
581,thukul,tumbuh,Kata Kerja,,,,,,
582,keduwung,menyesal,,,,,,,
583,bolong,berlubang,Kata Sifat,,,,,,
584,waton,asal-asalan; asalkan; pokoknya,Kata Keadaan,,,,,,
585,surup,"senja, memasukkan benang ke lubang jarum",,,,,,,
586,gendheng,"gila, gila",Kata Sifat,,,,,,
587,wisa,"bisa, racun",Kata Benda,,,,,,
588,iket,ikat kepala,Kata Benda,,,,,,
589,mlebet,masuk,,,,,,Krama,
590,remen,seneng,,,,,,,
591,kosok,menggosok,Kata Kerja,,,,,,
592,wareg,kenyang,Kata Sifat,,,,,,
593,jujur,lurus,Kata Sifat,,,,,,
594,adu,"adu, dipertarungkan",Kata Kerja,,,,,,
595,aren,enau,Kata Benda,,,,,,
596,awas,tajam (pengelihatan,Kata Sifat,,,,,,
597,uwal,terlepas dari ikatan (untuk manusia),Kata Keadaan,,,,,,
598,nalar,akal,Kata Benda,,,,,,
599,pedhang,pedang,Kata Benda,,,,,,
600,wingking,belakang,Kata Keadaan,,,,,Krama,
601,gela,"menyesal, kecewa",Kata Sifat,,,,,,
602,watara,kira-kira,Kata Keadaan,,,,,,
603,jodho,jodoh; cocok; pasangan,Kata Benda,,,,,,
604,gelar,bentang (tikar,Kata Kerja,,,,,,
605,aris,lugas,Kata Keadaan,,,,,,
606,kebeneran,kebetulan,,,,,,,
607,olah,"gerak, berbuat",,,,,,,
608,brahmana,pendeta,Kata Benda,,,,,,
609,abuh,bengkak,Kata Sifat,,,,,,
610,aturi,beri; persilakan,Kata Kerja,,,,,,
611,teken,tongkat,Kata Benda,,,,,,
612,bebasan,seperti; layaknya,,,,,,,
613,ambegan,bernafas,Kata Kerja,,,,,,
614,saré,tidur,,,,,,,
615,cidra,curi; culik,Kata Kerja,,,,,,
616,enem,enam,Kata Bilangan,,,,,,
617,jajan,makanan ringan,Kata Benda,,,,,,
618,putu,cucu; kue putu,Kata Benda,,,,,,
619,gumuk,bukit kecil,Kata Benda,,,,,,
620,kesengsem,terpesona,,,,,,,
621,pelem,mangga,Kata Benda,,,,,,
622,sithik,sedikit,,,,,,,
623,bebaya,bahaya,Kata Benda,,,,,,
624,mulat,melihat,,,,,,,
625,wigati,"perlu, penting",Kata Sifat,,,,,,
626,latar,halaman,,,,,,,
627,gombal,"kain usang, kain bekas untuk lap",Kata Benda,,,,,,
628,ambèn,ranjang,,,,,,,
629,awor,bercampur dengan,Kata Keterangan,,,,,,
630,busana,pakaian,Kata Benda,,,,,Krama,
631,jathilan,tarian kuda kepang,Kata Benda,,,,,,
632,yuta,juta,Kata Bilangan,,,,,,
633,ngapura,memaafkan,Kata Kerja,,,,,,
634,gada,gada; senjata pemukul,Kata Benda,,,,,,
635,arit,sabit,Kata Benda,,,,,,
636,adhi,adik,Kata Benda,,,,,,
637,yayi,adik,Kata Benda,,,,,,
638,ucul,terlepas,Kata Kerja,,,,,,
639,dhayoh,tamu,Kata Benda,,,,,,
640,pangkur,salah satu Tembang Macapat,,,,,,,
641,sonten,sore,,,,,,Krama,
642,getun,menyesal,Kata Sifat,,,,,,
643,ari,adik,Kata Benda,,,,,,
644,ajur,hancur,Kata Sifat,,,,,,
645,janma,manusia,Kata Benda,,,,,,
646,kacu,sapu tangan,Kata Benda,,,,,,
647,embah,nenek/kakek,Kata Benda,,,,,,
648,wirang,malu; tercemar,Kata Sifat,,,,,,
649,ringkih,lemah,,,,,,,
650,asri,"indah, menyenangkan untuk dipandang",Kata Sifat,,,,,,
651,damar,lak,Kata Benda,,,,,,
652,walanda,belanda,Kata Benda,,,,,,
653,anget,hangat,Kata Sifat,,,,,,
654,sumringah,cerah pada wajah yang gembira,,,,,,,
655,buruh,bekerja untuk orang lain,Kata Benda,,,,,,
656,lombok,cabe/lombok,,,,,,,
657,ganda,bau,Kata Benda,,,,,,
658,yuyu,kepiting sungai,Kata Benda,,,,,,
659,gendul,botol,Kata Benda,,,,,,
660,ambruk,"tumbang, roboh",Kata Kerja,,,,,,
661,nétra,mata,,,,,,,
662,turangga,jaran,,,,,,,
663,griya,rumah,Kata Benda,,,,,,
664,payu,laku,Kata Sifat,,,,,,
665,brambang,bawang merah,Kata Benda,,,,,,
666,ambu,bau,Kata Benda,,,,,,
667,barès,terus terang,,,,,,,
668,angon,mengembala,Kata Kerja,,,,,,
669,pocung,"jenazah yang telah dikafani, hantu pocong",Kata Benda,,,,,,
670,kebacut,kebablasan,Kata Sifat,,,,,,
671,bèbèk,itik,,,,,,,
672,carita,cerita,Kata Benda,,,,,,
673,aling-aling,bersembunyi di balik,Kata Kerja,,,,,,
674,dalah,dan; bersama dengan,Kata Sambung,,,,,,
675,nyandhak,memegang; mengerjakan (sesuatu),,,,,,,
676,sungu,tanduk,Kata Benda,,,,,,
677,bonang,"alat musik pukul, bagian dari gamelan",Kata Benda,,,,,,
678,walang,belalang,Kata Benda,,,,,,
679,wisma,rumah,Kata Benda,,,,,,
680,dodol,berjualan,,,,,,,
681,pandhan,pandan,Kata Benda,,,,,,
682,wangun,bentuk,Kata Benda,,,,,,
683,énthéng,ringan,,,,,,,
684,asat,"kering, habis airnya (untuk sungai, danau, dsb.",Kata Sifat,,,,,,
685,polah,tingkah,Kata Benda,,,,,,
686,candra,bulan,Kata Benda,,,,,,
687,tengara,tanda,Kata Benda,,,,,,
688,kidang,kijang,,,,,,,
689,bayu,angin,Kata Benda,,,,,,
690,bangkèkan,pinggang,,,,,,,
691,wantah,apa adanya,Kata Keterangan,,,,,,
692,blaka,berterus terang,Kata Kerja,,,,,,
693,waja,gigi,Kata Benda,,,,,Krama,
694,jelèh,bosan,,,,,,,
695,gabah,padi yang telah terlepas dari tangkainya,Kata Benda,,,,,,
696,rina,Siang,,,,,,,
697,ilat,lidah,Kata Benda,,,,,,
698,tirta,Air,Kata Benda,,,,,,
699,udud,rokok,Kata Benda,,,,,,
700,jeruk,limau,Kata Benda,,,,,,
701,gelis,cepat,Kata Keadaan,,,,,,
702,nyritakake,"bercerita, menceritakan",Kata Kerja,,,,,,
703,wutah,tumpah,Kata Kerja,,,,,,
704,ngemot,"memuat, mengandung",Kata Kerja,,,,,,
705,tumbas,beli,Kata Kerja,,,,,Krama,
706,ngobong,membakar,Kata Kerja,,,,,,
707,dara,burung dara,Kata Benda,,,,,,
708,kathok,celana,Kata Benda,,,,,,
709,ama,hama,Kata Benda,,,,,,
710,wulangan,pelajaran,Kata Benda,,,,,,
711,dhawah,jatuh,Kata Kerja,,,,,Krama,
712,madya,tengah,,,,,,Krama,
713,warih,banyu,Kata Benda,,,,,,
714,apes,sial,Kata Kerja,,,,,,
715,kembar,kembar / sama / serupa,,,,,,,
716,kadhang,sesekali,,,,,,,
717,jalma,manusia,Kata Benda,,,,,,
718,adreng,"bernafsu, antusias",Kata Sifat,,,,,,
719,wasta,nama,Kata Benda,,,,,,
720,kandheg,terhalang,,,,,,,
721,wening,bening,Kata Sifat,,,,,,
722,cantrik,murid padepokan,Kata Benda,,,,,,
723,jalu,taji,Kata Benda,,,,,,
724,sigar,terbelah,,,,,,,
725,maido,"menghina, mencerca",Kata Kerja,,,,,,
726,pinten,berapa,,,,,,Krama,
727,tandang,bekerja,Kata Kerja,,,,,,
728,bumbu,bumbu; rempah-rempah,Kata Benda,,,,,,
729,balèn,rujuk,,,,,,,
730,gilig,tidak pipih,Kata Sifat,,,,,,
731,pupu,paha,Kata Benda,,,,,,
732,wukir,gunung,Kata Benda,,,,,,
733,kobong,terbakar,,,,,,,
734,sengit,"benci, tidak suka",,,,,,,
735,nurut,nurut; penurut,Kata Sifat,,,,,,
736,lumantar,melalui sesuatu,,,,,,,
737,cepak,"tersedia, siap",Kata Sifat,,,,,,
738,dagang,berdagang,Kata Kerja,,,,,,
739,ganep,gebap,Kata Sifat,,,,,,
740,tetes,menetas,Kata Kerja,,,,,,
741,angen-angen,"pemikiran, ingatan, cita-cita",Kata Benda,,,,,,
742,estu,"sungguh, jadi",Kata Keadaan,,,,,,
743,tutur,kata,Kata Benda,,,,,,
744,bathi,"laba, keuntungan, margin",Kata Benda,,,,,,
745,jabang,bayi,Kata Benda,,,,,,
746,cucuk,paruh,Kata Benda,,,,,,
747,senthong,kamar,,,,,,,
748,clathu,berbicara,,,,,,,
749,adas,nama tanaman,Kata Benda,,,,,,
750,lurik,"bergaris, corak kain",Kata Sifat,,,,,,
751,rèmèh,sepele,,,,,,,
752,sambat,mengeluh,,,,,,,
753,ngamuk,marah,Kata Kerja,,,,,,
754,sendhang,telaga,,,,,,,
755,alun-alun,"lapangan di tengah kota, alun-alun",Kata Benda,,,,,,
756,dhemit,setan,,,,,,,
757,doyan,senang makan,,,,,,,
758,idu,air ludah,Kata Benda,,,,,,
759,bablas,"terus, lewat",,,,,,,
760,wulang,ajar,Kata Kerja,,,,,,
761,udakara,"kira-kira, kurang lebih",Kata Sambung,,,,,,
762,blumbang,kolam,,,,,,,
763,ngajeng,depan,Kata Keadaan,,,,,Krama,
764,éwuh,rikuh; serba salah,,,,,,,
765,cupet,terbatas; tidak cukup panjang,Kata Sifat,,,,,,
766,cepuk,"wadah kecil, biasanya untuk menyimpan perhiasan",Kata Benda,,,,,,
767,bumbung,tempat berbentuk pipa besar atau terbuat dari bambu; tabung (dari seruas bambu),Kata Benda,,,,,,
768,dahana,api,Kata Benda,,,,,,
769,wuwus,"bicara, kata-kata",Kata Benda,,,,,,
770,régol,pintu,,,,,,,
771,eri,duri,Kata Benda,,,,,,
772,pait,pahit,Kata Sifat,,,,,,
773,tilik,menjenguk,Kata Kerja,,,,,,
774,imbal,berselang-seling; saling,Kata Sambung,,,,,,
775,kapuk,kapas,Kata Benda,,,,,,
776,cangkriman,teka-teki,,,,,,,
777,labuh,berlabuh,,,,,,,
778,uler,ulat,Kata Benda,,,,,,
779,awrat,berat,Kata Kerja,,,,,,
780,anggep,anggap,Kata Kerja,,,,,,
781,ngakoni,mengakui,Kata Kerja,,,,,,
782,kapok,kapok/tidak mau mengulangi,,,,,,,
783,dandan,"bersolek, merias diri",Kata Kerja,,,,,,
784,jambé,pinang (tanaman),,,,,,,
785,unggah-ungguh,sopan santun,,,,,,,
786,janggut,dagu,Kata Benda,,,,,,
787,kandhang,rumah binatang,,,,,,,
788,wèwèh,memberi; pemberian,,,,,,,
789,uwa,bude/pakde,Kata Benda,,,,,,
790,wanuh,"tahu, kenal",Kata Kerja,,,,,,
791,aluwung,lebih baik,Kata Keterangan,,,,,,
792,lebet,dalam,,,,,,,
793,tingal,mata,Kata Benda,,,,,,
794,sarira,badan,,,,,,Krama,
795,jumbuh,"bertemu, cocok (untuk pendapat, pemikiran)",Kata Sifat,,,,,,
796,jarik,kain panjang untuk pakaian wanita adat Jawa,Kata Benda,,,,,,
797,cekel,pegang,Kata Kerja,,,,,,
798,werna,"warna, jenis",Kata Benda,,,,,,
799,miris,takut,,,,,,,
800,gagé,cepat,,,,,,,
801,bosen,bosan;,,,,,,,
802,brengos,kumis,Kata Benda,,,,,,
803,yayah,ayah,Kata Benda,,,,,,
804,karso,ingin,,,,,,,
805,rena,Senang,,,,,,Krama,
806,jempol,ibu jari,Kata Benda,,,,,,
807,bebrayan,berkeluarga,Kata Kerja,,,,,,
808,yuswa,umur,Kata Benda,,,,,,
809,bokong,pantat,Kata Benda,,,,,,
810,jemèk,becek,,,,,,,
811,jumantara,angkasa,Kata Benda,,,,,,
812,gya,segera,Kata Keadaan,,,,,,
813,waranggana,penyanyi (dengan iringan gamelan),Kata Benda,,,,,,
814,bubrah,rusak,,,,,,,
815,ambles,"turun dan menjadi tidak nampak, tenggelam",Kata Kerja,,,,,,
816,areng,arang,Kata Benda,,,,,,
817,awu,abu; [[awu-awu,Kata Benda,,,,,,
818,dandang,periuk nasi,Kata Benda,,,,,,
819,èlèk,jelek,,,,,,,
820,waos,gigi,Kata Benda,,,,,,
821,wulung,elang,Kata Benda,,,,,,
822,gendruwo,hantu besar hitam,Kata Benda,,,,,,
823,gundhul,kepala,Kata Benda,,,,,,
824,urut,"sesuai antrian, urut",Kata Kerja,,,,,,
825,emut,kulum,Kata Kerja,,,,,,
826,wingit,angker,Kata Sifat,,,,,,
827,gendéra,bendera,,,,,,,
828,rumaos,merasa dalam hati,,,,,,Krama,
829,éman,sayang kalau hilang atau rusak,,,,,,,
830,lempung,tanah liat,,,,,,,
831,kecik,biji,,,,,,,
832,ulam,ikan,,,,,,,
833,rene,Ke sini,,,,,,,
834,entén,tunggu,,,,,,,
835,watuk,batuk,Kata Kerja,,,,,,
836,mamah,mengunyah,,,,,,,
837,krikil,kerikil,Kata Benda,,,,,,
838,cuwa,kecewa,Kata Sifat,,,,,,
839,ngadhep,menghadap,Kata Kerja,,,,,,
840,alok,berkata,Kata Kerja,,,,,,
841,darma,"darma, kewajiban dalam hidup",Kata Benda,,,,,,
842,teluk,"takluk, menyerah",Kata Sifat,,,,,,
843,alang-alang,ilalang,Kata Benda,,,,,,
844,wadung,kapak,Kata Benda,,,,,,
845,wrangka,sarung keris,Kata Benda,,,,,,
846,tilem,tidur,Kata Kerja,,,,,Krama,
847,prigel,"ulet, bisa diandalkan",Kata Sifat,,,,,,
848,gugur,mati di medan perang,Kata Kerja,,,,,,
849,ati-ati,hati-hati,Kata Keadaan,,,,,,
850,nyangking,menenteng,,,,,,,
851,apal,hafal,Kata Sifat,,,,,,
852,arang-arang,jarang,Kata Sifat,,,,,,
853,wirama,irama,Kata Benda,,,,,,
854,api-api,pura-pura,Kata Kerja,,,,,,
855,weton,hari kelahiran; weton,Kata Benda,,,,,,
856,gamping,kapur tembok,Kata Benda,,,,,,
857,ambeg,berwatak,Kata Sifat,,,,,,
858,saru,Tidak pantas,,,,,,,
859,lumuh,malas,Kata Sifat,,,,,,
860,garan,gagang,Kata Benda,,,,,,
861,ngapunten,mohon maaf,Kata Kerja,,,,,Krama,
862,bengawan,"sungai, sungai besar",Kata Benda,,,,,,
863,genthong,tempayan,Kata Benda,,,,,,
864,cethil,pelit,Kata Sifat,,,,,,
865,mrono,ke sana,,,,,,,
866,bal,bola,Kata Benda,,,,,,
867,guyu,"tertawa, tawa; [[guyon",,,,,,,
868,mlumpat,melompat,,,,,,,
869,wuda,telanjang,Kata Keadaan,,,,,,
870,ura-ura,bernyanyi,Kata Kerja,,,,,,
871,bayan,petugas keamanan desa,Kata Benda,,,,,,
872,agni,api,Kata Benda,,,,,,
873,legok,berlekuk,,,,,,,
874,minger,berpaling,,,,,,,
875,élok,"aneh, ajaib",,,,,,,
876,ringkes,Simpel/singkat,,,,,,,
877,bathok,tempurung (kelapa),Kata Benda,,,,,,
878,gatel,gatal,Kata Sifat,,,,,,
879,okèh,banyak (lihat [[akEh,,,,,,,
880,bosok,busuk,,,,,,,
881,adang,"menanak nasi, menanak dengan menggunakan dandang",Kata Kerja,,,,,,
882,raseksa,Raksasa,,,,,,,
883,mlumah,terlentang,,,,,,,
884,ladrang,istilah dalam seni karawitan,,,,,,,
885,cundhuk,tusuk sanggul,Kata Benda,,,,,,
886,tulada,"contoh, teladan",,,,,,,
887,klapa,kelapa,,,,,,,
888,bung,rebung,Kata Benda,,,,,,
889,disik,terlebih dulu,Kata Keadaan,,,,,,
890,caos,Memberi ''(e.g caos dhahar = memberi makan)'',,,,,,,
891,umob,mendidih,Kata Sifat,,,,,,
892,bayaran,"bayaran, gaji, honor",Kata Kerja,,,,,,
893,weling,pesan,Kata Benda,,,,,,
894,gegayuhan,keinginan/cita-cita,Kata Benda,,,,,,
895,rikuh,Sungkan,,,,,,,
896,awèt,"tidak cepat rusak, tahan lama, tidak kunjung habis",,,,,,,
897,codhot,kelelawar,Kata Benda,,,,,,
898,gendèr,nama alat musik pukul,,,,,,,
899,celak,"pensil alis, penegas garis tepi mata",Kata Sifat,,,,,Krama,
900,anakan,anakan; bunga (uang),Kata Benda,,,,,,
901,liman,gajah,,,,,,Krama,
902,mangap,mulut terbuka,Kata Sifat,,,,,,
903,danawa,raksasa,Kata Benda,,,,,,
904,aywa,jangan,Kata Seru,,,,,,
905,kluruk,berkokok,,,,,,,
906,asung,menghaturkan,Kata Kerja,,,,,,
907,sepet,"sabut kelapa, rasa salak yang masih mentah",,,,,,,
908,kothak,kotak,Kata Benda,,,,,,
909,gemah,makmur,,,,,,,
910,lengen,lengan,,,,,,,
911,mpun,sudah,,,,,,Krama,
912,jaluk,minta,Kata Kerja,,,,,,
913,gawan,bawaan,Kata Benda,,,,,,
914,angga,tubuh,Kata Benda,,,,,,
915,bengkong,bengkok,,,,,,,
916,wilah,bilah,Kata Benda,,,,,,
917,mlampah,berjalan; [[mlampah-mlampah,,,,,,Krama,
918,gelut,gulat,,,,,,,
919,ara-ara,padang,Kata Benda,,,,,,
920,rencang,teman,,,,,,,
921,bal-balan,sepak bola,Kata Benda,,,,,,
922,macak,berbenah; merias,,,,,,,
923,dhadhu,dadu,Kata Benda,,,,,,
924,wetu,keluar,Kata Kerja,,,,,,
925,wuwuh,tambah,Kata Kerja,,,,,,
926,gelap,petir,,,,,,,
927,rebab,biola Jawa,,,,,,,
928,gogor,anak harimau,Kata Benda,,,,,,
929,yuwana,selamat,Kata Sifat,,,,,,
930,sémah,Istri/Suami,,,,,,,
931,degan,kelapa muda,Kata Benda,,,,,,
932,amor,kumpul,Kata Kerja,,,,,,
933,mlongo,"melongo, bengong",,,,,,,
934,gangsir,sejenis jangkrik,,,,,,,
935,kere,kere/gembel,,,,,,,
936,grimis,hujan rintik-rintik,,,,,,,
937,bledhèg,"guntur, halilintar, petir",,,,,,,
938,gati,memberi perhatian,,,,,,,
939,yatra,uang,Kata Benda,,,,,,
940,uyuh,air seni,Kata Benda,,,,,,
941,upas,bisa ular,,,,,,,
942,ener,arah,Kata Benda,,,,,,
943,abrit,merah,Kata Sifat,,,,,Krama,
944,caping,"topi petani, bentuknya bulat berujung runcing, dari anyaman bambu",Kata Benda,,,,,,
945,beling,kaca,Kata Benda,,,,,,
946,udu,bukan,,,,,,,
947,rindhik,pelan/mengincar,,,,,,,
948,éthok-éthok,pura-pura,,,,,,,
949,wangsit,"wahyu; ilham, petunjuk",Kata Benda,,,,,,
950,dhudha,duda,Kata Benda,,,,,,
951,imbuh,tambah; bonus,Kata Kerja,,,,,,
952,waskitha,waspada,Kata Sifat,,,,,,
953,éca,enak,,,,,,,
954,mulur,bertambahnya panjang,,,,,,,
955,utami,utama,Kata Benda,,,,,Krama,
956,pakan,makanan hewan ternak,Kata Benda,,,,,,
957,bubuk,tidur,Kata Kerja,,,,,,
958,nyandhang,memakai pakaian,,,,,,,
959,omben-omben,minuman,Kata Benda,,,,,,
960,dumèh,mentang-mentang,,,,,,,
961,gèpèng,pipih,,,,,,,
962,angler,nyenyak,Kata Keadaan,,,,,,
963,ayahan,kewajiban,Kata Benda,,,,,,
964,ngowahi,merubah,Kata Kerja,,,,,,
965,budheg,tuli,Kata Sifat,,,,,,
966,uni,"bunyi, suara",Kata Benda,,,,,,
967,awoh,berbuah,Kata Kerja,,,,,,
968,inuman,minuman,Kata Benda,,,,,,
969,andha,tangga,Kata Benda,,,,,,
970,baruna,dewa lautan,Kata Benda,,,,,,
971,gemak,burung puyuh,Kata Benda,,,,,,
972,lesung,alat penumbuk padi dari kayu berbentuk seperti sampan,,,,,,,
973,grojogan,air terjun,,,,,,,
974,bebungah,hadiah,Kata Benda,,,,,,
975,jupuk,ambil,Kata Kerja,,,,,,
976,keplok,tepuk tangan,,,,,,,
977,jirih,penakut,Kata Sifat,,,,,,
978,gupuh,tergopoh-gopoh,,,,,,,
979,laler,lalat,,,,,,,
980,ari-ari,tali pusat,Kata Benda,,,,,,
981,arga,gunung,Kata Benda,,,,,,
982,wuru,mabuk,Kata Kerja,,,,,,
983,wawasan,"pikiran, pertimbangan",Kata Benda,,,,,,
984,risak,rusak,,,,,,Krama,
985,éwah,ubah; berubah,,,,,,,
986,dédé,bukan,,,,,,,
987,cekap,cukup (bhs Jawa halus),,,,,,Krama,
988,ngantem,"menghantam, melempar",Kata Kerja,,,,,,
989,luwe,lapar,,,,,,,
990,kadhung,terlanjur,,,,,,,
991,mrambat,bergerak dengan pelan (hewan melata); merambat (tanaman),,,,,,,
992,loma,Suka memberi,,,,,,,
993,angur,masih lebih baik,Kata Sifat,,,,,,
994,blarak,daun kelapa kering,Kata Benda,,,,,,
995,grabah,perlengkapan rumah/perkakas dapur yang terbuat dari tanah liat,Kata Benda,,,,,,
996,wungkuk,bongkok,Kata Sifat,,,,,,
997,babon,"induk, induk ayam",Kata Benda,,,,,,
998,andhok,makan di warung,Kata Kerja,,,,,,
999,giris,ngeri,Kata Sifat,,,,,,
1000,ugal-ugalan,bertindak tanpa mengindahkan aturan; kurang ajar,Kata Keadaan,,,,,,
1001,anyep,dingin (tubuh atau bagian tubuh,Kata Sifat,,,,,,
1002,rengka,retak pada tanah,,,,,,,
1003,gila,jijik; nggilani,Kata Sifat,,,,,,
1004,tumon,"melihat, tahu",,,,,,,
1005,akas,alon,Kata Keadaan,,,,,,
1006,bédhah,terbuka paksa,,,,,,,
1007,pathi,sari,Kata Benda,,,,,,
1008,buda,rabu,Kata Benda,,,,,,
1009,jagal,tukang potong hewan ternak,Kata Benda,,,,,,
1010,gajih,lemak jenuh,Kata Benda,,,,,,
1011,aking,"kering, kurus",Kata Sifat,,,,,,
1012,ambal,ulang,Kata Kerja,,,,,,
1013,wastani,"kira, sangka; namakan, sebut",Kata Kerja,,,,,,
1014,buyut,cicit,Kata Benda,,,,,,
1015,wajan,"wajan, kuali",Kata Benda,,,,,,
1016,greget,antusias,,,,,,,
1017,supit,"sunat, khitan",,,,,,,
1018,cemeng,hitam,Kata Benda,,,,,Krama,
1019,grenengan,berbicara dengan suara rendah,Kata Kerja,,,,,,
1020,apus,sejenis bambu,Kata Benda,,,,,,
1021,gragapan,dalam keadaan belum sepenuhnya terjaga dari tidur,Kata Keadaan,,,,,,
1022,gerèh,ikan asin,,,,,,,
1023,nyukani,memberi,,,,,,Krama,
1024,klenger,hampir tak sadarkan diri,,,,,,,
1025,titis,tepat sasaran,Kata Sifat,,,,,,
1026,sepa,"tidak ada rasanya, hambar",,,,,,,
1027,japa,mantra,Kata Benda,,,,,,
1028,awis,mahal,Kata Keadaan,,,,,,
1029,barat,angin,Kata Benda,,,,,,
1030,gita,"segera, cepat",,,,,,,
1031,winih,benih,Kata Benda,,,,,,
1032,bangké,bangkai,,,,,,,
1033,asrep,dingin,Kata Sifat,,,,,,
1034,beksan,tarian,Kata Benda,,,,,,
1035,tandur,tanam,Kata Kerja,,,,,,
1036,kepencut,"terpesona, tergiur",,,,,,,
1037,ngunjuk,minum,Kata Kerja,,,,,,
1038,wuta,buta,Kata Sifat,,,,,,
1039,grapyak,ramah,Kata Sifat,,,,,,
1040,ujug-ujug,datang dengan tiba-tiba,Kata Kerja,,,,,,
1041,mingkem,menutup dua buah bibir,,,,,,,
1042,hara,coba,Kata Seru,,,,,,
1043,gludhug,guruh,Kata Benda,,,,,,
1044,dhapur,"dapur, bagian pangkal dari pohon bambu,",,,,,,,
1045,éram,heran,,,,,,,
1046,rupak,sempit,,,,,,,
1047,jajal,coba,Kata Kerja,,,,,,
1048,jail,jahil,Kata Sifat,,,,,,
1049,benik,kancing baju,Kata Benda,,,,,,
1050,bawera,"luas, lapang",,,,,,,
1051,lumah,terlentang,,,,,,,
1052,cakra,senjata dalam pewayangan; lingkaran,Kata Benda,,,,,,
1053,dunung,tempat,Kata Benda,,,,,,
1054,baskara,matahari,Kata Benda,,,,,,
1055,waluh,labu,Kata Benda,,,,,,
1056,jarwa,"cerita, terjemah",Kata Kerja,,,,,,
1057,randhu,"kapuk, pohon penghasil kapuk",,,,,,,
1058,grana,hidung,Kata Benda,,,,,,
1059,wuluh,belimbing wuluh,Kata Benda,,,,,,
1060,wuruk,tunjuk/ajar,Kata Kerja,,,,,,
1061,wré,kera,,,,,,,
1062,beja,beruntung,Kata Sifat,,,,,,
1063,langka,jarang,,,,,,,
1064,ancas,tujuan,Kata Benda,,,,,,
1065,ngedol,menjual,Kata Kerja,,,,,,
1066,opak,kerupuk dari umbi-umbian,Kata Benda,,,,,,
1067,jené,kuning,,,,,,,
1068,kadingaren,tumben,,,,,,,
1069,curiga,keris,Kata Benda,,,,,,
1070,bangga,meronta,Kata Kerja,,,,,,
1071,nedha,makan,Kata Kerja,,,,,Krama,
1072,lawa,kelelawar,,,,,,,
1073,kajeng,ingin,,,,,,Krama,
1074,alesan,alasan,Kata Benda,,,,,,
1075,alum,layu,Kata Sifat,,,,,,
1076,cawé-cawé,"turun tangan, ikut campur",,,,,,,
1077,ubarampé,perlengkapan,,,,,,,
1078,jarak,cari perkara,Kata Kerja,,,,,,
1079,walèh,bosan,,,,,,,
1080,lunyu,licin,Kata Sifat,,,,,,
1081,wekas,pesan,Kata Benda,,,,,,
1082,wanti-wanti,berpesan dengan sangat,Kata Kerja,,,,,,
1083,andum,berbagi,Kata Kerja,,,,,,
1084,jaler,laki-laki,Kata Sifat,,,,,,
1085,renggang,tidak mepet,,,,,,,
1086,antep,berat,Kata Sifat,,,,,,
1087,wot,jembatan; titian biasanya dibuat sangat sederhana dari bahan kayu atau bambu,Kata Benda,,,,,,
1088,grahana,gerhana,Kata Benda,,,,,,
1089,elar,bulu unggas,Kata Benda,,,,,,
1090,pedhet,anak sapi,Kata Benda,,,,,,
1091,wacana,"wacana, diskursus",Kata Benda,,,,,,
1092,wuyung,"kasmaran; tergila-gila, jatuh cinta",Kata Sifat,,,,,,
1093,lisah,minyak,,,,,,Krama,
1094,padang,terang,Kata Sifat,,,,,,
1095,èdi,indah,,,,,,,
1096,wagu,"janggal; canggung, kurang serasi, tidak pantas",Kata Sifat,,,,,,
1097,rujuk,kemabli berkumpul/bersaama,,,,,,,
1098,lamur,kabur [pandangan,,,,,,,
1099,anyel,jengkel,Kata Sifat,,,,,,
1100,céngkok,"dialek, lagu",,,,,,,
1101,dhingklik,kursi pendek setinggi orang jongkok,,,,,,,
1102,kumat,kambuh,,,,,,,
1103,waluya,sehat,Kata Sifat,,,,,,
1104,rujak,makanan yang terdiri dari berbagai macam buah dengan bumbu yangpedas,,,,,,,
1105,garangan,"sejenis kucing liar, pemanggang",,,,,,,
1106,waspa,air mata,Kata Benda,,,,,,
1107,ancer-ancer,prakiraan; ancar-ancar,Kata Benda,,,,,,
1108,amot,muat,Kata Kerja,,,,,,
1109,wilujeng,selamat,Kata Keadaan,,,,,,
1110,walik,balik,Kata Benda,,,,,,
1111,jèbèng,panggilan untuk bayi,,,,,,,
1112,wengku,"memangku, menikahi (pria menikahi wanita)",Kata Kerja,,,,,,
1113,benthèt,retak,,,,,,,
1114,gèthèk,rakit,,,,,,,
1115,wudun,bisul,Kata Benda,,,,,,
1116,cèrèt,cerek,,,,,,,
